Id	Description	Qty	Unit	Designators	Manufacturer	MPN
1	Connector, 12V Litium Iron Phosphate Battery, Custom Adapter, 2 pins	1		GLVBATTERY		
2	Connector, BaoLian, Custom Adapter, 2 pins	1		BOTS		
3	Connector, CMC 54320, Female	1		MOTORCONTROLLER	Molex	0643203319
4	Connector, Deutsch DT, Female	1		MOTORENCODER	TE Connectivity	DT06-6S-C015
5	Connector, Deutsch DT, Female, 12 pins	1		AMS	TE Connectivity	DT06-12SA-P012
6	Connector, Deutsch DT, Female, 2 pins	1		ACCUMULATORINTERLOCK		DT06-2S-C015
7	Connector, Deutsch DT, Female, 2 pins	7		BRAKELIGHT, BUZZER, FAN1, FAN2, RTM_LED, TSS_LED_GREEN, TSS_LED_RED	TE Connectivity	DT06-2S-C015
8	Connector, Deutsch DT, Female, 3 pins	9		APPS1, APPS2, BRAKEPRESSURE1, BRAKEPRESSURE2, COOLINGFLOW, COOLINGPRESSURE, COOLINGPUMP, COOLINGTEMP1, COOLINGTEMP2	TE Connectivity	DT06-3Ss
9	Connector, Deutsch DT, Female, 6 pins	1		HVBOX		DT06-6S-C015
10	Connector, Deutsch DT, Female, 6 pins	1		RTM-Light	TE Connectivity	DT06-3Ss
11	Connector, Deutsch Leavyseal, Female, 62 pins	1		ECU	TE Connectivity	1-1823498-1
12	Connector, First Inertia Switch, Custom Adapter, 2 pins	1		INERTIASWITCH		
13	Connector, Master Switch, Custom Adapter, 2 pins	2		GLVMS, TSMS		
14	Connector, OMRON, 2 pins	2		LEFTSHUTDOWN, RIGHTSHUTDOWN		OMRON A22-01
15	Connector, OMRON, Custom Adapter, 2 pins	1		COCKPITSHUTDOWN		OMRON A22-01
16	Wire, 14 AWG, BK	9.4	m	ECU-AMS-LOW-GAUGE, ECU-COOLING-LOW-GAUGE, ECU-GLVBATTERY, ECU-PEDDLEBOX-LOW-GAUGE, ECU-PEDDLEBOX-LOW-GAUGE-2, ECU-PEDDLEBOX-LOW-GAUGE-3, ECU-PEDDLEBOX-LOW-GAUGE-4, GLVBATTERY-COOLINGPUMP		
17	Wire, 14 AWG, BU	1.5	m	GLVMS-ECU		
18	Wire, 14 AWG, GN	1.25	m	ECU-AMS-LOW-GAUGE		
19	Wire, 14 AWG, RD	13.55	m	AMS-RTM-LEDS-LOW-GAUGE, ECU-AMS-LOW-GAUGE, ECU-BRAKELIGHT-LOW-GAUGE, ECU-BUZZER-LOW-GAUGE, ECU-COOLING-LOW-GAUGE, ECU-PEDDLEBOX-LOW-GAUGE, ECU-PEDDLEBOX-LOW-GAUGE-2, ECU-PEDDLEBOX-LOW-GAUGE-3, ECU-PEDDLEBOX-LOW-GAUGE-4, GLVBATTERY-GLVMS, GLVMS-COOLINGPUMP, GLVMS-ECU		
20	Wire, 14 AWG, YE	1.25	m	ECU-AMS-LOW-GAUGE		
21	Wire, 16 AWG, BK	1.5	m	ECU-FAN1, ECU-FAN2		
22	Wire, 16 AWG, RD	1.5	m	ECU-FAN1, ECU-FAN2		
23	Wire, 18 AWG, BU	10.35	m	ACCUMULATORINTERLOCK-TSMS, BOTS-RIGHTSHUTDOWN, COCKPITSHUTDOWN-BOTS, ECU-MOTORCONTROLLERINTERLOCK, HVBOX-AMS, INERTIASWITCH-COCKPITSHUTDOWN, LEFTSHUTDOWN-ACCUMULATORINTERLOCK, MOTORCONTROLLERINTERLOCK-INERTIASWITCH, RIGHTSHUTDOWN-LEFTSHUTDOWN, TSMS-HVBOX		
24	Wire, 20 AWG, BK	0.6	m	ECU-MOTORCONTROLLER		
25	Wire, 20 AWG, BU	3.3	m	ECU-COOLINGPUMP, ECU-MOTORCONTROLLER		
26	Wire, 20 AWG, GN	0.6	m	ECU-MOTORCONTROLLER		
27	Wire, 20 AWG, RD	0.6	m	ECU-MOTORCONTROLLER		
28	Wire, 20 AWG, YE	0.6	m	ECU-MOTORCONTROLLER		
29	Wire, 22 AWG, GN	1.7	m	ECU-TSS-GREEN		
30	Wire, 22 AWG, RD	1.7	m	ECU-TSS-RED		
31	Wire, 22 AWG, VT	41.9	m	AMS-RTM-LED, AMS-RTM-LEDS, ECU-AMS, ECU-BRAKELIGHT, ECU-BUZZER, ECU-COOLING, ECU-COOLING-MOTOR, ECU-PEDDLEBOX, ECU-TSS-GREEN, ECU-TSS-RED, MOTORCONTROLLER-MOTORENCODER		
